ID,Preferential Allowance,Unit price per lesson
GV2.C.03,1890000,110000
GV2.C.04,2097900,110000
GV2.C.05,2305800,120000
GV2.C.06,2513700,120000
GV2.C.07,2721600,130000
GV2.C.08,2929500,130000
GV2.C.09,3137400,140000
GV2.C.10,3345300,140000
GV2.B.01,2520000,120000
GV2.B.02,2734200,120000
GV2.B.03,2948400,135000
GV2.B.04,3162600,135000
GV2.B.05,3376800,150000
GV2.B.06,3591000,150000
GV2.B.07,3805200,165000
GV2.B.08,4019400,165000
GV2.B.09,4233600,180000
GV2.B.10,4447800,180000
GV2.A.01,2772000,140000
GV2.A.02,2986200,140000
GV2.A.03,3200400,160000
GV2.A.04,3414600,160000
GV2.A.05,3628800,180000
GV2.A.06,3843000,180000
GV2.A.07,4057200,200000
GV2.A.08,4271400,200000
GV2.A.09,4485600,220000
GV2.A.10,4699800,220000
FS2.B.01,2772000,320000
FS2.B.02,2986200,320000
FS2.B.03,3200400,340000
FS2.B.04,3414600,340000
FS2.B.05,3628800,360000
FS2.B.06,3843000,360000
FS2.B.07,4057200,380000
FS2.B.08,4271400,380000
FS2.B.09,4485600,400000
FS2.B.10,4699800,400000
FS2.A.01,2772000,380000
FS2.A.02,2986200,380000
FS2.A.03,3200400,400000
FS2.A.04,3414600,400000
FS2.A.05,3628800,420000
FS2.A.06,3843000,420000
FS2.A.07,4057200,440000
FS2.A.08,4271400,440000
FS2.A.09,4485600,460000
FS2.A.10,4699800,460000
GV0.C.01,1171800,100000
GV0.C.02,1297800,100000
GV0.C.03,1423800,110000
GV0.C.04,1549800,110000
GV0.C.05,1675800,120000
GV0.C.06,1801800,120000
GV0.C.07,1927800,130000
GV0.C.08,2053800,130000
GV0.C.09,2179800,140000
GV0.C.10,2305800,140000
GV0.B.01,1323000,120000
GV0.B.02,1518300,120000
GV0.B.03,1713600,135000
GV0.B.04,1908900,135000
GV0.B.05,2104200,150000
GV0.B.06,2299500,150000
GV0.B.07,2494800,165000
GV0.B.08,2690100,165000
GV0.B.09,2885400,180000
GV0.B.10,3080700,180000
GV0.A.01,1474200,140000
GV0.A.02,1682100,140000
GV0.A.03,1890000,160000
GV0.A.04,2097900,160000
GV0.A.05,2305800,180000
GV0.A.06,2513700,180000
GV0.A.07,2721600,200000
GV0.A.08,2929500,200000
GV0.A.09,3137400,220000
GV0.A.10,3345300,220000
